"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.25857045086297,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.42538899009307,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.51738613228644,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-6.45396950013307,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.55685283306495,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.79491917447736,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.297946920380571,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.867004846688933,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.891295552858432,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.789033726719187,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.493340515130741,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.197951054317769,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.865616660689211,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.73325056800718,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.94605081542827,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.38259665266074,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.825422551516555,,
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-1.32846497422296,"B","Break"
"LFEMTTTT","Total employment: all persons, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.211785514801713,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,8.95510163317511,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-21.1931072943033,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,9.90375112768328,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,16.9205913449397,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-6.18346368837055,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.9885900527436,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.456148847973669,,
